t,ax,ay,az
3.69,-10.2522,1.4646000000000001,-13.6696
3.7,-11.2286,0.4882,-14.1578
3.71,-11.716800000000001,0.4882,-13.6696
3.72,-10.740400000000001,1.4646000000000001,-15.6224
3.73,-11.2286,1.9528,-14.646
3.74,-11.2286,1.4646000000000001,-15.6224
3.75,-12.205,2.4410000000000003,-15.6224
3.7600000000000002,-11.716800000000001,1.9528,-16.5988
3.77,-12.205,2.9292000000000002,-16.5988
3.7800000000000002,-11.2286,3.4174,-16.5988
3.79,-11.716800000000001,2.4410000000000003,-16.1106
3.8000000000000003,-12.693200000000001,3.9056,-17.575200000000002
3.81,-11.716800000000001,3.9056,-17.087
3.8200000000000003,-12.205,3.9056,-17.575200000000002
3.83,-13.1814,3.9056,-18.5516
3.84,-13.1814,4.393800000000001,-18.0634
3.85,-13.6696,5.3702000000000005,-18.0634
3.86,-14.1578,5.3702000000000005,-18.5516
3.87,-14.1578,4.882000000000001,-18.5516
3.88,-14.1578,4.882000000000001,-18.0634
3.89,-14.646,4.393800000000001,-19.528000000000002
3.9,-69.8126,69.8126,-69.8126
3.91,-14.646,4.882000000000001,-19.528000000000002
3.92,-15.6224,4.882000000000001,-19.528000000000002
3.93,-15.6224,4.882000000000001,-20.0162
3.94,-14.646,4.882000000000001,-19.0398
3.95,-15.6224,4.393800000000001,-18.5516
3.96,-14.1578,4.882000000000001,-18.5516
3.97,-14.646,3.9056,-19.0398
3.98,-15.1342,4.393800000000001,-19.528000000000002
3.99,-14.646,4.882000000000001,-19.528000000000002
4.0,-15.6224,3.4174,-18.5516
4.01,-15.1342,3.9056,-18.5516
4.0200000000000005,-15.6224,3.4174,-19.0398
4.03,-14.1578,4.393800000000001,-20.5044
4.04,-14.646,3.9056,-20.0162
4.05,-13.6696,3.4174,-19.528000000000002
4.0600000000000005,-14.1578,3.4174,-19.0398
4.07,-14.1578,4.393800000000001,-20.0162
4.08,-13.6696,4.393800000000001,-19.0398
4.09,-14.1578,4.882000000000001,-20.0162
4.1,-13.6696,3.9056,-19.0398
4.11,-13.6696,4.393800000000001,-19.528000000000002
4.12,-13.6696,4.393800000000001,-19.528000000000002
4.13,-13.1814,4.393800000000001,-19.528000000000002
4.14,-13.1814,4.882000000000001,-19.528000000000002
4.15,-13.6696,3.9056,-19.528000000000002
4.16,-14.646,4.882000000000001,-20.0162
4.17,-14.1578,4.393800000000001,-19.0398
4.18,-13.1814,5.3702000000000005,-18.5516
4.19,-14.646,4.882000000000001,-20.5044
4.2,-14.1578,4.882000000000001,-19.528000000000002
4.21,-14.646,4.882000000000001,-19.0398
4.22,-14.1578,4.393800000000001,-18.5516
4.23,-14.1578,4.393800000000001,-18.5516
4.24,-14.646,3.9056,-19.0398
4.25,-14.646,4.882000000000001,-19.0398
4.26,-14.1578,4.882000000000001,-19.0398
4.2700000000000005,-13.6696,4.882000000000001,-19.0398
4.28,-14.1578,4.393800000000001,-18.5516
4.29,-14.1578,2.9292000000000002,-19.0398
4.3,-14.1578,5.3702000000000005,-19.0398
4.3100000000000005,-13.6696,3.9056,-18.0634
4.32,-14.1578,3.9056,-17.575200000000002
4.33,-13.6696,3.9056,-18.5516
4.34,-13.6696,3.9056,-19.0398
4.3500000000000005,-14.1578,4.393800000000001,-19.0398
4.36,-14.1578,4.393800000000001,-19.0398
4.37,-13.1814,2.9292000000000002,-19.528000000000002
4.38,-13.6696,3.4174,-19.0398
4.39,-14.1578,3.4174,-19.0398
4.4,-14.1578,4.393800000000001,-19.0398
4.41,-13.6696,3.9056,-19.528000000000002
4.42,-13.6696,3.4174,-20.0162
4.43,-13.1814,4.393800000000001,-19.528000000000002
4.44,-13.1814,4.393800000000001,-19.528000000000002
4.45,-12.693200000000001,3.9056,-19.0398
4.46,-13.1814,4.393800000000001,-19.0398
4.47,-12.693200000000001,4.393800000000001,-18.5516
4.48,-13.6696,4.882000000000001,-19.0398
4.49,-14.1578,4.393800000000001,-19.528000000000002
4.5,-13.6696,4.393800000000001,-18.0634
4.51,-13.6696,5.3702000000000005,-19.528000000000002
4.5200000000000005,-13.1814,3.9056,-17.087
4.53,-14.646,5.3702000000000005,-18.0634
4.54,-14.1578,4.882000000000001,-18.5516
4.55,-14.1578,4.882000000000001,-19.0398
4.5600000000000005,-13.6696,3.4174,-18.5516
4.57,-13.6696,4.882000000000001,-17.575200000000002
4.58,-14.646,4.393800000000001,-16.5988
4.59,-13.6696,4.393800000000001,-18.5516
4.6000000000000005,-13.6696,3.4174,-18.0634
4.61,-13.6696,3.4174,-17.575200000000002
4.62,-13.6696,3.4174,-18.5516
4.63,-14.646,4.393800000000001,-19.0398
4.64,-14.646,3.4174,-18.0634
4.65,-12.693200000000001,2.4410000000000003,-18.5516
4.66,-13.6696,3.9056,-18.0634
4.67,-13.6696,3.4174,-18.5516
4.68,-13.6696,3.4174,-18.5516
4.69,-13.1814,4.393800000000001,-18.5516
4.7,-13.6696,2.9292000000000002,-19.0398
4.71,-13.6696,3.4174,-19.0398
4.72,-13.6696,3.4174,-18.5516
4.73,-12.205,2.9292000000000002,-18.0634
4.74,-13.1814,3.9056,-18.5516
4.75,-13.1814,3.9056,-17.575200000000002
4.76,-12.693200000000001,3.4174,-18.0634
4.7700000000000005,-13.1814,4.393800000000001,-19.0398
4.78,-12.205,3.9056,-18.0634
4.79,-12.205,3.9056,-17.575200000000002
4.8,-12.205,4.393800000000001,-18.0634
4.8100000000000005,-12.693200000000001,4.393800000000001,-17.575200000000002
4.82,-13.1814,3.9056,-18.5516
4.83,-13.1814,4.882000000000001,-18.0634
4.84,-12.693200000000001,4.393800000000001,-19.0398
4.8500000000000005,-13.1814,4.393800000000001,-18.5516
4.86,-13.1814,4.393800000000001,-17.575200000000002
4.87,-14.1578,4.882000000000001,-18.5516
4.88,-14.646,4.882000000000001,-17.575200000000002
4.89,-14.646,4.393800000000001,-18.5516
4.9,-12.693200000000001,3.9056,-18.0634
4.91,-14.646,3.4174,-17.087
4.92,-13.6696,3.9056,-18.0634
4.93,-14.1578,3.4174,-17.575200000000002
4.94,-13.6696,4.393800000000001,-18.0634
4.95,-14.1578,3.4174,-18.5516
4.96,-13.6696,3.9056,-17.575200000000002
4.97,-14.1578,3.9056,-17.575200000000002
4.98,-13.6696,3.4174,-18.5516
4.99,-13.6696,3.4174,-17.575200000000002
