t,wx,wy,wz
3.54,15.063042824833987,6.526892867366599,4.091945715803779
3.5500000000000003,15.066235500294953,6.221460248267591,3.895064062377589
3.56,15.069428175755917,6.104395481365533,4.481452122041538
3.5700000000000003,15.071556626063227,6.551370045900666,4.3431028520663775
3.58,15.072620851216882,5.847917219334659,4.7890131914478555
3.59,15.072620851216882,6.546048920132391,4.802848118445371
3.6,15.072620851216882,6.47048893422288,3.8450454801558003
3.61,15.071556626063227,6.382158246469508,4.104716417647639
3.62,15.070492400909572,6.049055773375469,4.4420757913563
3.63,15.069428175755917,5.79789863711287,4.298405395612864
3.64,15.068363950602262,6.127808434745944,3.831210553158284
3.65,15.067299725448608,6.522635966751979,4.346295527527342
3.66,15.066235500294953,6.437497954459572,3.9184770157580004
3.67,15.065171275141298,6.39705739862068,5.176391147378304
3.68,15.065171275141298,6.107588156826498,4.04831248450392
3.69,15.064107049987642,6.330011213940409,4.107909093108605
3.7,15.063042824833987,6.689719315875826,4.243065687622799
3.71,15.060914374526677,6.337460790015995,5.006115122793491
3.72,15.058785924219366,6.595003277200524,4.765600238067443
3.73,15.055593248758402,5.6372006389109535,4.18666175447908
3.74,15.050272122990126,5.7744856837324585,4.477195221426917
3.75,15.046015222375505,5.810669338956731,5.023142725251972
3.7600000000000002,15.039629871453576,6.198047294887179,4.747508410455307
3.77,15.032180295377989,6.2587081286455195,3.7311733887147067
3.7800000000000002,15.024730719302404,6.26509347956745,4.762407562606478
3.79,15.01728114322682,5.703182598437568,4.213267383320457
3.8000000000000003,15.008767341997578,6.015000568458506,4.847545574898884
3.81,15.001317765921993,6.562012297437216,4.478259446580572
3.8200000000000003,14.992803964692753,6.430048378383987,4.145156973486532
3.83,14.985354388617166,5.906449602785688,4.0685327624233665
3.84,14.978969037695236,6.182083917582354,3.535355960442172
3.85,14.97151946161965,5.927734105858789,3.7386229647902924
3.86,14.96513411069772,6.073532951909535,3.480016252452108
3.87,14.958748759775789,6.326818538479444,3.7418156402512577
3.88,14.95236340885386,6.136322235975185,4.825196846672128
3.89,14.945978057931928,6.157606739048287,4.183469079018115
3.9,14.939592707009998,6.121423083824014,5.222152828985473
3.91,14.932143130934412,6.40344274954261,4.9944086461032855
3.92,14.924693554858827,5.606338109454955,4.587874637407046
3.93,14.917243978783242,5.705311048744878,4.8613805018964005
3.94,14.907665952400345,6.551370045900666,3.1607487063555846
3.95,14.899152151171105,6.119294633516704,5.108280737544379
3.96,14.88957412478821,5.912834953707619,4.283506243461693
3.97,14.879996098405313,6.004358316921955,4.3345890508371365
3.98,14.870418072022417,5.9373121322416855,4.040862908428335
3.99,14.860840045639522,5.916027629168584,3.886550261148348
4.0,14.850197794102971,5.408392230875111,4.267542866156867
4.01,14.840619767720076,5.9543397347001665,4.143028523179222
4.0200000000000005,14.83104174133718,5.9543397347001665,3.8705868838435222
4.03,14.821463714954284,5.759586531581287,4.404827910978372
4.04,14.811885688571389,5.910706503400308,3.9844589752846153
4.05,14.802307662188493,6.310855161174618,3.268235446874747
4.0600000000000005,14.792729635805596,6.13525801082153,4.620865617170352
4.07,14.782087384269046,5.712760624820463,2.774434975578791
4.08,14.771445132732495,5.476502640709036,4.676205325160417
4.09,14.760802881195945,6.038413521838918,3.493851179449624
4.1,14.749096404505739,6.20656109611642,4.090881490650124
4.11,14.738454152969188,5.546741500850271,4.166441476559634
4.12,14.725683451125327,5.620173036452472,3.8908071617629685
4.13,14.713976974435122,5.916027629168584,3.885486035994693
4.14,14.702270497744916,5.651035565908469,2.8872428418662293
4.15,14.689499795901055,5.874522848176036,4.222845409703353
4.16,14.67779331921085,5.483952216784622,4.491030148424433
4.17,14.666086842520643,5.961789310775752,3.2288591161895095
4.18,14.654380365830436,5.544613050542961,3.9344403930628267
4.19,14.643738114293885,5.588246281842819,4.270735541617832
4.2,14.633095862757335,6.196983069733524,4.331396375376171
4.21,14.62351783637444,6.26935038018207,5.485016441938277
4.22,14.613939809991544,6.291699108408826,3.4459610475351456
4.23,14.604361783608647,5.740430478815496,4.037670232967369
4.24,14.594783757225752,6.104395481365533,4.5889388625607
4.25,14.586269955996512,5.8564310205639,3.871651108997177
4.26,14.576691929613617,6.154414063587321,3.3076117775599854
4.2700000000000005,14.56711390323072,6.078854077677811,3.354437684320809
4.28,14.557535876847824,6.219331797960281,5.107216512390724
4.29,14.547957850464929,6.059698024912019,2.5552045939258443
4.3,14.537315598928378,5.990523389924439,4.223909634857009
4.3100000000000005,14.526673347391828,5.786192160422664,4.305854971688449
4.32,14.516031095855276,5.695733022361982,3.6971181837977443
4.33,14.505388844318725,5.557383752386822,3.772678169707255
4.34,14.49368236762852,5.577604030306269,4.916720209886464
4.3500000000000005,14.483040116091969,6.093753229828982,3.5662184898981693
4.36,14.471333639401763,5.638264864064608,3.654549177651541
4.37,14.460691387865213,6.098010130443602,5.18809762406851
4.38,14.448984911175007,5.38923617810932,4.847545574898884
4.39,14.437278434484801,5.614851910684196,4.312240322610379
4.4,14.42663618294825,5.6159161358378515,3.6737052304173323
4.41,14.415993931411698,5.660613592291365,4.545305631260842
4.42,14.404287454721493,6.113973507748429,2.793591028344582
4.43,14.393645203184942,5.560576427847788,3.4182911935401137
4.44,14.381938726494736,5.415841806950697,3.359758810089084
4.45,14.371296474958186,6.092689004675327,3.4683097757619024
4.46,14.360654223421635,5.9926518402317495,4.5357276048779465
4.47,14.34894774673143,5.772357233425148,3.764164368478014
4.48,14.337241270041224,5.647842890447504,4.466552969890366
4.49,14.326599018504673,5.7308524524326,3.9323119427555167
4.5,14.314892541814466,5.693604572054673,4.365451580293134
4.51,14.304250290277915,6.07246872675588,4.127065145874396
4.5200000000000005,14.29254381358771,5.5126862959333085,4.774114039296684
4.53,14.281901562051159,5.726595551817979,4.3047907465347945
4.54,14.271259310514608,6.1171661832093935,4.717710106152965
4.55,14.260617058978058,5.168941571302718,4.022771080816199
4.5600000000000005,14.251039032595163,5.58611783153551,3.898256737838554
4.57,14.241461006212266,5.514814746240619,4.11323021887688
4.58,14.23188297982937,5.449897011867659,3.8780364599191075
4.59,14.222304953446475,5.052941029554315,3.504493430986175
4.6000000000000005,14.21272692706358,5.419034482411662,2.6243792289134245
4.61,14.204213125834338,5.327511119197325,4.299469620766518
4.62,14.194635099451443,5.447768561560349,4.05044093481123
4.63,14.185057073068547,6.012872118151196,3.961046021904204
